Número,Jogador,Em jogo,Golos,Assistências,Perdas de Bola,Recuperações,Amarelos,Vermelhos,Remates à Baliza,Remates Fora,Faltas Cometidas,Faltas Sofridas,Defesas,Tempo de Jogo
1,Ariana,False,1,0,0,1,0,0,2,0,3,2,0,2.6642221689224264
2,Bia,False,0,0,0,0,0,0,0,0,0,0,0,2.730582296848299
3,Carolina,True,0,0,0,0,0,0,0,0,0,0,0,2.730582296848299
4,Kika,True,0,0,0,0,0,0,0,0,0,0,0,2.730582296848299
5,Sara,True,0,0,0,0,0,0,0,0,0,0,0,2.730582296848299
6,Carol,True,0,0,0,0,0,0,0,0,0,0,0,0.0663601279258728
7,Diana,False,0,0,0,0,0,0,0,0,0,0,0,0.0
8,Laura,False,0,0,0,0,0,0,0,0,0,0,0,0.0
9,Laurinha,False,0,0,0,0,0,0,0,0,0,0,0,0.0
10,Maria,False,0,0,0,0,0,0,0,0,0,0,0,0.0
11,Cássia,True,0,0,0,0,0,0,0,0,0,0,0,0.0
12,Fran,False,0,0,0,0,0,0,0,0,0,0,0,0.0
13,Gabi,False,0,0,0,0,0,0,0,0,0,0,0,0.0
14,Mariana,False,0,0,0,0,0,0,0,0,0,0,0,0.0
15,Camila,False,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Alana,False,0,0,0,0,0,0,0,0,0,0,0,0.0
17,Eva,False,0,0,0,0,0,0,0,0,0,0,0,0.0
18,Júlia,False,0,0,0,0,0,0,0,0,0,0,0,0.0
19,Raquel,False,0,0,0,0,0,0,0,0,0,0,0,0.0
