Número,Jogador,Em jogo,Golos,Assistências,Perdas de Bola,Recuperações,Amarelos,Vermelhos,Remates à Baliza,Remates Fora,Faltas Cometidas,Faltas Sofridas,Defesas,Tempo de Jogo
1,Luiz,True,0,0,6,2,0,0,1,1,0,0,0,1.7930251598358156
4,Kiko,True,0,0,0,0,0,0,0,0,0,0,0,1.7930251598358156
5,Gui,True,0,0,0,0,0,0,0,0,0,0,0,1.7930251598358156
6,Diego,True,0,0,0,0,0,0,0,0,0,0,0,1.7930251598358156
8,Ritinha,True,0,0,0,0,0,0,0,0,0,0,0,1.7930251598358156
10,Enzo,False,0,0,0,0,0,0,0,0,0,0,0,0.0
11,Sandro,False,0,0,0,0,0,0,0,0,0,0,0,0.0
14,António,False,0,0,0,0,0,0,0,0,0,0,0,0.0
15,Dinis,False,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Diogo,False,0,0,0,0,0,0,0,0,0,0,0,0.0
17,Francisco,False,0,0,0,0,0,0,0,0,0,0,0,0.0
18,Matilde,False,0,0,0,0,0,0,0,0,0,0,0,0.0
31,Miguel,False,0,0,0,0,0,0,0,0,0,0,0,0.0
