Número,Jogador,Em jogo,Golos,Assistências,Perdas de Bola,Recuperações,Amarelos,Vermelhos,Remates à Baliza,Remates Fora,Faltas Cometidas,Faltas Sofridas,Defesas,Tempo de Jogo
1,Luiz,False,0,0,1,0,0,0,1,0,0,0,0,0.8434152762095136
4,Kiko,False,3,0,0,1,0,0,0,1,1,1,1,1.568226158618927
5,Gui,True,1,0,0,0,0,0,1,0,1,1,1,1.818687959512075
6,Diego,True,0,0,0,0,0,0,0,0,0,0,0,1.818687959512075
8,Ritinha,True,0,0,0,0,0,0,0,0,0,0,0,1.818687959512075
10,Enzo,True,0,0,0,0,0,0,0,0,0,0,0,1.0663138429323833
11,Sandro,False,0,0,0,0,0,0,0,0,0,0,0,0.0
14,António,False,0,0,0,0,0,0,0,0,0,0,0,0.0
15,Dinis,False,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Diogo,False,0,0,0,0,0,0,0,0,0,0,0,0.0
17,Francisco,True,0,0,0,0,0,0,0,0,0,0,0,0.15942064126332603
18,Matilde,False,0,0,0,0,0,0,0,0,0,0,0,0.0
31,Miguel,False,0,0,0,0,0,0,0,0,0,0,0,0.0
